Date;VXX;VIXM;VIXY;VXZ
18/01/2018;27.26;20.47;22.34;16.9
19/01/2018;26.9;20.459;22.26;16.9
22/01/2018;26.5302;20.17;21.79;16.72
23/01/2018;26.95;20.45;22.14;16.95
24/01/2018;27.66;20.79;22.72;16.95
25/01/2018;27.66;20.9976;23.1;16.95
26/01/2018;27.66;20.87;22.93;16.95
29/01/2018;29.58;21.3;24.6;16.95
30/01/2018;30.55;21.61;25.38;16.95
31/01/2018;30.65;21.41;24.8;16.95
01/02/2018;29.1074;21.06;24.04;16.95
02/02/2018;32.85;21.83;27.31;16.95
05/02/2018;43.86;24.77;36.66;16.95
06/02/2018;43.1155;24.67;35.47;16.95
07/02/2018;44.54;25.5;36.87;16.95
08/02/2018;55.18;27.48;45.77;16.95
09/02/2018;50.28;26.18;41.41;16.95
12/02/2018;48.55;25.37;39.68;16.95
13/02/2018;47.97;25.63;39.72;16.95
14/02/2018;42.48;25.08;35.08;20.8299
15/02/2018;41.5;24.47;34.4;20.43
16/02/2018;42.12;24.52;34.88;20.43
20/02/2018;43.84;24.83;36.39;20.43
21/02/2018;44.5;25.16;36.87;20.38
22/02/2018;43.92;24.86;36.24;20.38
23/02/2018;40.49;23.93;33.49;20.38
26/02/2018;39.28;23.37;32.1;19.57
27/02/2018;42.41;24.31;35.12;19.57
28/02/2018;44.16;24.8;36.69;19.57
01/03/2018;47.2;25.71;39.18;21.47
02/03/2018;45.12;25.52;37.62;21.54
05/03/2018;43.46;24.98;35.87;21.54
06/03/2018;43.69;25.21;36.14;21.54
07/03/2018;43.04;25.319;35.73;21.54
08/03/2018;42.59;25.27;34.4;21.54
09/03/2018;38.25;23.94;31.67;21.54
12/03/2018;39.76;24.45;32.99;20.1205
13/03/2018;40.71;24.73;33.7;20.1205
14/03/2018;41.6;25.1;34.37;20.8
15/03/2018;40.44;24.63;33.31;20.8
16/03/2018;39.3;24.39;32.77;20.8
19/03/2018;43.37;24.93;35.82;20.8
20/03/2018;42.54;25.105;35.07;20.8501
21/03/2018;40.99;24.88;34.67;20.52
22/03/2018;47.2;25.78;39.19;20.52
23/03/2018;50;26.5;41.4;20.52
26/03/2018;46.3;25.67;38.19;20.52
27/03/2018;49.78;26.83;41.25;20.52
28/03/2018;50.095;27.32;42.15;20.52
29/03/2018;49;26.45;39.15;20.52
02/04/2018;51.84;27.24;42.87;22.86
03/04/2018;49.62;26.83;40.98;22.86
